0,1,2,3,4,5,6,7
-0.0014692214,0.024454162,-0.0010253765,-0.0010812066,-0.0010702339,-0.0010495333,-0.0010549449,-0.0010855763
0.12306386,-0.0002568434,-0.0010223356,-0.0011923321,-0.0011700899,-0.0011426359,-0.0011319289,-0.0012369371
0.1510218,-0.0016292733,-0.0009866899,-0.0012544113,-0.001251784,-0.0011977042,-0.001210288,-0.0013739478
0.050557315,-0.0027322727,-0.0010663357,-0.0013543555,-0.001364882,-0.001298297,-0.0013172074,-0.0015833187
-0.000900778,-0.0033776537,-0.0009358423,-0.0013593023,-0.0013755711,-0.0013162073,-0.0013359812,-0.0016354751
-0.0011750461,0.16713695,-0.001127087,-0.001482933,-0.0014991523,-0.0014541846,-0.0014750013,-0.0017347736
-0.0012535283,0.33877897,-0.0010500486,-0.0014593523,-0.0014660913,-0.0014571556,-0.0014738479,-0.0017097058
-0.0007574674,-0.002511255,-0.0011883205,-0.0014797121,-0.0014817384,-0.0014646327,-0.0015102878,-0.0016091004
-4.634328e-05,-0.0069912695,-0.0009953938,-0.001389492,-0.0013809901,-0.0013662057,-0.001400418,-0.0015105666
0.052721232,-0.0034402066,-0.0010095303,-0.0012575531,-0.0012389601,-0.001207817,-0.0012487882,-0.0013236416
-0.00020381092,0.23002885,-0.0009406655,-0.0012951541,-0.0013013366,-0.00127645,-0.0013000258,-0.0013447645
-0.001001986,-0.00012941188,-0.00094622443,-0.0013816598,-0.0013805433,-0.0013436208,-0.0013632516,-0.0013272057
-0.0010329746,-0.0029800609,-0.0009940274,-0.0013808417,-0.0013590697,-0.0013198827,-0.0013422477,-0.0013835223
-0.00102484,-0.001297475,-0.0010290233,-0.0013937894,-0.001380273,-0.0013454822,-0.001350675,-0.0015127512
-0.000994681,0.21647017,-0.0010279261,-0.0016049437,-0.001612607,-0.0015569394,-0.0015898263,-0.0018062145
-0.0009804834,-3.157817e-05,-0.0010265096,-0.0017717028,-0.0017847776,-0.0017344144,-0.0017623827,-0.0018980416
-0.0009873825,-0.00082717475,-0.0010251624,-0.0016480495,-0.0016347292,-0.0016078827,-0.001624909,-0.0017941735
-0.0009847453,0.011959739,-0.001021659,-0.0013778803,-0.0013684399,-0.0013323528,-0.0013710418,-0.0015432762
-0.0009910405,0.09313817,-0.0010202639,-0.0014720277,-0.001459337,-0.0014103024,-0.0014580193,-0.0016609223
-0.0009843134,-0.0007900339,-0.0010204025,-0.0014580453,-0.001438528,-0.0013781984,-0.0014399566,-0.0015851044
-0.0010176202,-0.002591226,-0.0010225074,-0.0010113214,-0.0009835768,-0.0009451852,-0.000980162,-0.0011442157
-0.001028035,-0.0028988742,-0.0010245935,-0.001005642,-0.0010080303,-0.00096554804,-0.0010096617,-0.0011440616
-0.0014050265,-0.0012327778,-0.0010231343,-0.0011262923,-0.0011295496,-0.0010717367,-0.0011302877,-0.0011906957
-0.0013437745,0.05210571,-0.0010237346,-0.0009911206,-0.0009816904,-0.0009577392,-0.00097640353,-0.001252912
-0.00092748454,0.033170342,-0.0010243667,-0.00097560615,-0.0009760951,-0.0009543372,-0.0009719254,-0.0012188515
-0.0009973145,0.063475326,-0.0010240725,-0.000997718,-0.0010253234,-0.0010113532,-0.0010209956,-0.001231861
-0.0012720516,-0.0002001062,-0.0010255987,-0.001073538,-0.0010830624,-0.0010589615,-0.0010811804,-0.0012011215
-0.0019694315,-0.0009664926,-0.0010262107,-0.0009584909,-0.0009538511,-0.0009686844,-0.0009569439,-0.0010274843
-0.0022418147,-0.00093993713,-0.0010281303,-0.0009441742,-0.00094065245,-0.0009769377,-0.0009466125,-0.000986473
-0.003962943,-0.0010040641,-0.0010269289,-0.0010609154,-0.0010596551,-0.0010461867,-0.0010589856,-0.0010413048
-0.0053164265,0.00064570457,-0.0010259433,-0.0009899768,-0.0009962553,-0.0010078411,-0.0009985352,-0.00089585275
-0.004955906,-0.0008090539,-0.0010247825,-0.0009613591,-0.0009648228,-0.0009877771,-0.0009670006,-0.00085050956
-0.0036902307,-0.0011770516,-0.0010253974,-0.0009249808,-0.0009164435,-0.0009273417,-0.0009173542,-0.00089010096
-0.0036744652,-0.00080854504,-0.001025661,-0.0010309436,-0.0010418303,-0.0010395247,-0.0010419104,-0.0010132137
-0.004779272,-0.0016243279,-0.0010260278,-0.00095249264,-0.00094916206,-0.0009456068,-0.0009497812,-0.0010065611
-0.004854982,-0.0015705022,-0.0010248194,-0.0010748212,-0.0010768926,-0.001065417,-0.0010787139,-0.00120105
-0.0032492345,-0.0024707445,-0.0010244484,-0.0011373571,-0.0011193606,-0.0011066115,-0.0011201763,-0.001423096
-0.0033739947,-0.0029187042,-0.0010234375,-0.0013467899,-0.0013439655,-0.0013381531,-0.0013384527,-0.0017550477
-0.0030982913,-0.0016819894,-0.0010230084,-0.001255534,-0.0012572389,-0.0012645575,-0.0012549886,-0.001549294
-0.0031753401,-0.0009465553,-0.0010242034,-0.00097615836,-0.0009917774,-0.0010009895,-0.0009907441,-0.0011996897
-0.0026618955,-0.00024136216,-0.0010241617,-0.0010828242,-0.0010863132,-0.0010952295,-0.0010960669,-0.0011114406
-0.00416949,-0.0009901912,-0.001023128,-0.0010621485,-0.0010537485,-0.0010384999,-0.0010527753,-0.0011134556
-0.0036218052,-0.00014194443,-0.0010249763,-0.0009565,-0.0009371161,-0.0009406027,-0.0009358066,-0.00084315386
-0.0031043603,0.039259866,-0.0010259799,-0.00071775937,-0.00072188146,-0.00072236994,-0.00071589753,-0.00065447314
-0.001798663,-0.00081508054,-0.0010256731,-0.00081721274,-0.0008286925,-0.00084115844,-0.0008304569,-0.00093695364
-0.0023428665,-0.0015259048,-0.0010247125,-0.0009946793,-0.0009984573,-0.0010049513,-0.0010009586,-0.0011136371
-0.002719801,-0.001702204,-0.0010236175,-0.0010218014,-0.0010217694,-0.0010225492,-0.0010217492,-0.0012553099
-0.0019674688,-0.0015932438,-0.0010256799,-0.0011152512,-0.0011299752,-0.0011480026,-0.0011254944,-0.0017048211
-0.0026189669,-0.0012077948,-0.0010278398,-0.0010721545,-0.001079331,-0.0010888106,-0.0010772772,-0.001833148
-0.0023132132,-0.0011649561,-0.0010265385,-0.0010665747,-0.0010730746,-0.0010821394,-0.0010716129,-0.0016713947
-0.0022306568,-0.0013210669,-0.0010248736,-0.0010150875,-0.0010130238,-0.0010100722,-0.0010134899,-0.0016681724
-0.0006439602,-0.00058048294,-0.0010246861,-0.001052386,-0.0010563257,-0.0010620452,-0.0010554893,-0.0018477467
-7.369123e-05,-0.0006046356,-0.0010254143,-0.001057951,-0.0010639965,-0.0010770578,-0.0010635118,-0.0014314514
-0.0007038345,-0.00059626484,-0.0010258436,-0.0009777296,-0.0009671541,-0.0009435153,-0.00096760964,-0.00086193945
-3.853291e-06,-0.0005922477,-0.0010245097,-0.0010216932,-0.0010202953,-0.0010181513,-0.0010205127,-0.0008758023
-0.00014762304,-0.0008968803,-0.0010240162,-0.0010267321,-0.001027008,-0.0010271259,-0.0010270237,-0.0009724373
-0.0009179918,-0.0009823339,-0.0010240868,-0.0010230015,-0.0010234745,-0.001023496,-0.0010232541,-0.0008384125
-0.0009848464,-0.00095928437,-0.0010231362,-0.001022188,-0.0010227079,-0.0010228888,-0.0010223497,-0.00076618773
-0.0009875336,-0.0009539746,-0.0010247185,-0.0010179685,-0.0010174259,-0.0010178667,-0.0010177947,-0.00089550955
-0.0009922319,-0.0009690963,-0.0010257508,-0.0010190959,-0.0010191723,-0.001019332,-0.0010194576,-0.00097130385
-0.0010004774,-0.0009883399,-0.0010250035,-0.0010222555,-0.001022303,-0.0010222234,-0.0010224389,-0.001022255
-0.0009910788,-0.00090351386,-0.0010256207,-0.0010237426,-0.0010235964,-0.0010235194,-0.0010236823,-0.0010178242
-0.0007891752,-0.0003713935,-0.0010256596,-0.0010113016,-0.0010169498,-0.0010237953,-0.0010170988,-0.00093463145
-0.0010743751,-0.0010454453,-0.0010254828,-0.0010317127,-0.0010248859,-0.0010227207,-0.0010241857,-0.0010927675
-0.000607542,0.0035161898,-0.0010251377,-0.0009979254,-0.0010108784,-0.0010181281,-0.0010161361,-0.00082224637
-0.0011232299,-0.0011238649,-0.0010244235,-0.0009743825,-0.0009567868,-0.0009526182,-0.00095778675,-0.0010309392
-0.001595723,-0.003413712,-0.0010325147,-0.0010396569,-0.001048175,-0.0010520894,-0.0010516199,-0.0011554488
-0.0027810424,-0.0047574844,-0.0010328481,-0.0009413725,-0.0009291043,-0.0009301529,-0.0009344186,-0.0012974645
-0.0017602482,-0.0033790667,-0.0010320166,-0.0011131834,-0.001104925,-0.0010950649,-0.0010945252,-0.0011941862
-0.001914379,-0.0032604074,-0.0013126468,-0.0013574444,-0.0013403909,-0.0013204254,-0.0013036052,-0.0012977965
-0.0015161613,-0.0024680898,-0.0013636852,-0.0014966383,-0.0015346671,-0.001539322,-0.0015140764,-0.0012841828
-0.0011603654,-0.00089110964,-0.0012975202,-0.0013312186,-0.0013735272,-0.0014080722,-0.0013823595,-0.0012501937
-0.0009231451,-0.0015178084,-0.0017883336,-0.0014962546,-0.001488829,-0.0015431216,-0.0015071292,-0.0014852424
-0.0025665294,-0.0025920009,-0.0016959107,-0.0013342726,-0.0013042795,-0.0013111818,-0.0013315057,-0.0013288421
-0.00092178426,-0.0006450982,-0.0017353186,-0.0012599162,-0.001200222,-0.0012362717,-0.0012173664,-0.0014641666
0.08029545,0.10226477,-0.0022946638,-0.0014912985,-0.0013880024,-0.0014211113,-0.0013976613,-0.0011318898
0.027923279,0.024733149,-0.002280225,-0.002026365,-0.001926846,-0.0019271555,-0.0018737961,-0.0013529572
-0.0012576758,-0.0011871712,-0.0023042916,-0.0019257892,-0.0019004758,-0.0019413667,-0.0018676544,-0.0011208614
-0.0025185384,-0.0012249898,-0.0016637208,-0.0014081185,-0.0014107059,-0.0014142495,-0.0014206126,-0.0004692371
0.07404663,0.26996717,-0.0017223292,-0.0015788738,-0.001587269,-0.001558596,-0.001586835,-0.00094844965
0.050867006,0.12759912,-0.0017040613,-0.0015421783,-0.0015454139,-0.0015132962,-0.0015413335,-0.0013084125
-9.167417e-06,-0.00125191,-0.0011803841,-0.0011737501,-0.0011692691,-0.0011834436,-0.0011636986,-0.0010021585
-0.0010723623,-0.002645758,-0.0011582857,-0.0011505868,-0.0011513073,-0.0011449151,-0.0011502823,-0.0011596908
-0.0015873901,-0.003743303,-0.0012831296,-0.0016276817,-0.0016426957,-0.0016379865,-0.0016397805,-0.0015150368
-0.00279383,-0.004078477,-0.0013063581,-0.0014790265,-0.0014865404,-0.0014986601,-0.0014916528,-0.0016688039
-0.0031603181,-0.004031313,-0.0013139014,-0.0012956465,-0.0013003958,-0.0013343261,-0.0012994441,-0.0014135521
-0.0022416203,-0.0022042706,-0.0011807161,-0.0013490854,-0.0013368656,-0.0013336947,-0.0013392649,-0.0014842899
-0.0014930629,-0.0027009393,-0.0012974989,-0.0015638436,-0.0015765739,-0.0015713894,-0.0015828949,-0.0019910655
-0.0004294197,-0.0023618108,-0.0014150747,-0.0015128603,-0.001509566,-0.0014974406,-0.0015120188,-0.0018004305
-0.0002974682,-0.002318093,-0.0013887994,-0.0013928618,-0.0013827804,-0.0013970009,-0.0013851563,-0.0016295214
-0.0026068038,-0.0046031815,-0.0016476462,-0.0015970628,-0.0015978236,-0.0016123224,-0.0015952887,-0.0017501831
-0.0035303826,-0.0049684984,-0.0016118205,-0.0016279995,-0.001629299,-0.0016511924,-0.0016303621,-0.0016477571
-0.002323224,-0.0032502895,-0.001642465,-0.0017392957,-0.0017476414,-0.0017587522,-0.0017418298,-0.0017083993
-0.0011425479,-0.0020421946,-0.001935407,-0.0022308314,-0.0022327455,-0.0022609835,-0.002231689,-0.0023361002
-0.00034771845,-0.0012510496,-0.0018529175,-0.0020885982,-0.0020845372,-0.0021149379,-0.0020861528,-0.0023068986
-0.0010683353,-0.0025563785,-0.0019132849,-0.0021117032,-0.0021161444,-0.0021261296,-0.002117058,-0.0024121345
-0.0014967223,-0.0024766498,-0.002399166,-0.0027147077,-0.0027127971,-0.0027298504,-0.002713733,-0.002947328
-0.001023153,-0.0013277986,-0.0023923852,-0.0026692944,-0.0026711593,-0.0026989633,-0.002665774,-0.002850068
